"geo","geo_name","sect_perf","sect_perf_names","unit","unit_name","rnd_act","rnd_act_name","year","value","value_note","interpolated_flag"
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2000,944420000,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2001,1012313000,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2002,1080206000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2003,1116366500,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2004,1152527000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2005,1221038000,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2006,1289549000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2007,1385459000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2008,1383047000,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2009,1380635000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2010,1492078000,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2011,1603521000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2012,1747237000,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2013,1890953000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2014,1907557000,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2015,1924161000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2016,1890655500,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2017,1857150000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2018,1913789000,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2019,1970428000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2020,1937477500,"",TRUE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2021,1904527000,"",FALSE
"AT","Austria","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2022,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2000,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2001,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2002,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2003,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2004,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2005,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2006,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2007,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2008,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2009,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2010,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2011,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2012,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2013,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2014,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2015,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2016,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2017,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2018,NA,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2019,11714000,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2020,17253000,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2021,7284000,"",FALSE
"BA","Bosnia and Herzegovina","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2022,NA,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2000,658694000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2001,732292000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2002,960951000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2003,931208000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2004,1094871000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2005,1106433000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2006,1339063000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2007,1406055000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2008,1566314000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2009,1517016000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2010,1705137000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2011,1692730000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2012,1915092114,"",TRUE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2013,2070001000,"",FALSE
"BE","Belgium","BES","Business Enterprise","MIO_PPS_KP05","Purchasing Power Standard at 2005 prices","ARSRCH","Applied research",2014,2152157629,"",TRUE
